Shipping ID,Ship Date,Ship Month,Ship Mode,Customer ID,Customer Type,Country,City,State,Region,Category,Primary Product Category,Sub-Category,Secondary Product Category,Product Name,Sales,Quantity,Discount,Profit,Returned
CA-2016-152156,11/11/2016,11,Second Class,CG-12520,Non-Corporate,United States,Henderson,Kentucky,South,Furniture,Office Furniture,Bookcases,Self-Assembled,Bush Somerset Collection Bookcase,262,2,0,42,0
CA-2016-152156,11/11/2016,11,Second Class,CG-12520,Non-Corporate,United States,Henderson,Kentucky,South,Furniture,Office Furniture,Chairs,Fully Assembled,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",732,3,0,220,0
CA-2016-138688,16/06/2016,6,Second Class,DV-13045,Corporate,United States,Los Angeles,California,West,Office Supplies,Office Furniture,Labels,Fully Assembled,Self-Adhesive Address Labels for Typewriters by Universal,15,2,0,7,0
CA-2016-161389,10/12/2016,12,Standard Class,IM-15070,Non-Corporate,United States,Seattle,Washington,West,Office Supplies,Office Furniture,Binders,Fully Assembled,Fellowes PB200 Plastic Comb Binding Machine,408,3,0,133,0
CA-2016-137330,13/12/2016,12,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Office Furniture,Art,Fully Assembled,Newell 318,19,7,0,5,0
CA-2016-137330,13/12/2016,12,Standard Class,KB-16585,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Office Furniture,Appliances,Fully Assembled,"Acco Six-Outlet Power Strip, 4' Cord Length",60,7,0,16,0
CA-2016-121755,20/01/2016,1,Second Class,EH-13945,Non-Corporate,United States,Los Angeles,California,West,Office Supplies,Office Furniture,Binders,Fully Assembled,Wilson Jones Active Use Binders,12,2,0,4,0
CA-2016-121755,20/01/2016,1,Second Class,EH-13945,Non-Corporate,United States,Los Angeles,California,West,Technology,Office Technology,Accessories,Non-Handheld,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,91,3,0,12,0
CA-2016-117590,10/12/2016,12,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,Technology,Office Technology,Phones,Handheld Technology,GE 30524EE4,1098,7,0,123,0
CA-2016-117590,10/12/2016,12,First Class,GH-14485,Corporate,United States,Richardson,Texas,Central,Furniture,Office Furniture,Furnishings,Fully Assembled,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",191,5,1,-148,0
CA-2016-101343,22/07/2016,7,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,West,Office Supplies,Office Furniture,Storage,Fully Assembled,"Eldon Base for stackable storage shelf, platinum",78,2,0,4,0
CA-2016-118255,13/03/2016,3,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,Technology,Office Technology,Accessories,Non-Handheld,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",46,2,0,20,0
CA-2016-118255,13/03/2016,3,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Office Furniture,Binders,Fully Assembled,Wilson Jones Leather-Like Binders with DublLock Round Rings,17,2,0,8,0
CA-2016-169194,25/06/2016,6,Standard Class,LH-16900,Non-Corporate,United States,Dover,Delaware,East,Technology,Office Technology,Accessories,Non-Handheld,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,5,0
CA-2016-169194,25/06/2016,6,Standard Class,LH-16900,Non-Corporate,United States,Dover,Delaware,East,Technology,Office Technology,Phones,Handheld Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",22,2,0,6,0
CA-2016-105816,17/12/2016,12,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Fasteners,Fully Assembled,Advantus Push Pins,15,7,0,6,0
CA-2016-105816,17/12/2016,12,Standard Class,JM-15265,Corporate,United States,New York City,New York,East,Technology,Office Technology,Phones,Handheld Technology,AT&T CL83451 4-Handset Telephone,1030,5,0,299,0
CA-2016-111682,18/06/2016,6,First Class,TB-21055,Non-Corporate,United States,Troy,New York,East,Office Supplies,Office Furniture,Storage,Fully Assembled,Home/Office Personal File Carts,209,6,0,52,1
CA-2016-111682,18/06/2016,6,First Class,TB-21055,Non-Corporate,United States,Troy,New York,East,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 232,32,5,0,16,1
CA-2016-111682,18/06/2016,6,First Class,TB-21055,Non-Corporate,United States,Troy,New York,East,Furniture,Office Furniture,Chairs,Fully Assembled,Novimex Turbo Task Chair,319,5,0,7,1
CA-2016-111682,18/06/2016,6,First Class,TB-21055,Non-Corporate,United States,Troy,New York,East,Office Supplies,Office Furniture,Paper,Fully Assembled,"Array Parchment Paper, Assorted Colors",15,2,0,7,1
CA-2016-111682,18/06/2016,6,First Class,TB-21055,Non-Corporate,United States,Troy,New York,East,Technology,Office Technology,Accessories,Non-Handheld,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3,1
CA-2016-111682,18/06/2016,6,First Class,TB-21055,Non-Corporate,United States,Troy,New York,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Plastic Binding Combs,48,4,0,16,1
CA-2016-111682,18/06/2016,6,First Class,TB-21055,Non-Corporate,United States,Troy,New York,East,Office Supplies,Office Furniture,Art,Fully Assembled,Prang Dustless Chalk Sticks,2,1,0,1,1
